Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
100 MEDICAL CENTER DRIVE,HAZARD,Perry,54,HAZARD ARH REGIONAL MEDICAL CENTER,48.29%,180029,KY,41701,88,0.9635,0.9224,1,0.01,Lowest,0.18
1 MEDICAL VILLAGE DRIVE,EDGEWOOD,Kenton,43,ST ELIZABETH EDGEWOOD,48.65%,180035,KY,41017,,0.7763,0.7352,1,0.23,Lowest,0.06
ST CHRISTOPHER DR PO BOX 789,ASHLAND,Boyd,92,OUR LADY OF BELLEFONTE HOSPITAL,51.61%,180036,KY,41101,,0.8613,0.5145,1,0,Lowest,0
9 LINVILLE DRIVE,PARIS,Bourbon,73,BOURBON COMMUNITY HOSPITAL,50.00%,180046,KY,40361,,0.9207,0.9069,1,0.03,Lowest,0.1
217 SOUTH THIRD STREET,DANVILLE,Boyle,96,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,Not Available,180048,KY,40422,,0.9944,0.7921,1,0.08,Lowest,0
81 BALL PARK RD,HARLAN,Harlan,76,HARLAN ARH HOSPITAL,36.67%,180050,KY,40831,,0.9968,0.9968,1,0.09,Lowest,0.01
1000 SOUTH LIMESTONE,LEXINGTON,Fayette,96,UNIVERSITY OF KENTUCKY HOSPITAL,47.76%,180067,KY,40536,,0.5977,0.5724,1,0.01,Lowest,0.01
900 HOSPITAL DRIVE SUITE 442,MADISONVILLE,Hopkins,97,BAPTIST HEALTH MADISONVILLE,Not Available,180093,KY,42431,,0.8824,,1,0.01,Lowest,0
1099 MEDICAL CENTER CIRCLE,MAYFIELD,Graves,91,JACKSON PURCHASE MEDICAL CENTER,Not Available,180116,KY,42066,78.57,1,1,1,0.9,Lowest,0
299 KINGS DAUGHTERS DRIVE,FRANKFORT,Franklin,100,FRANKFORT REGIONAL MEDICAL CENTER,Not Available,180127,KY,40601,,0.6122,0.602,1,0.01,Lowest,0
2483 HIGHWAY 644,LOUISA,Lawrence,72,THREE RIVERS MEDICAL CENTER,48.31%,180128,KY,41230,100,0.996,0.996,1,0.16,Lowest,0
4000 KRESGE WAY,LOUISVILLE,Jefferson,100,BAPTIST HEALTH LOUISVILLE,54.65%,180130,KY,40207,,0.9582,0.8669,1,43,Lowest,3.47
305 LANGDON STREET,SOMERSET,Pulaski,73,LAKE CUMBERLAND REGIONAL HOSPITAL,52.08%,180132,KY,42503,,0.85,0.845,1,0,Lowest,0
901 WESTLAKE DRIVE PO BOX 1269,COLUMBIA,Adair,Not Available,WESTLAKE REGIONAL HOSPITAL,67.65%,180149,KY,42728,,,,1,,Lowest,
2400 RUSSELLVILLE ROAD,HOPKINSVILLE,Christian,66,WESTERN STATE HOSPITAL,65.12%,184002,KY,42240,98.31,0.9973,0.9973,1,0.23,Lowest,0.12
1350 BULL LEA ROAD,LEXINGTON,Fayette,96,EASTERN STATE HOSPITAL,47.54%,184004,KY,40511,77.78,0.9991,0.9419,1,0.2,Lowest,0.05
1405 BROWNS LANE,LOUISVILLE,Jefferson,48,THE BROOK HOSPITAL - DUPONT,39.27%,184007,KY,40207,,0.9521,0.9483,1,0.02,Lowest,0.02
8521 LAGRANGE ROAD,LOUISVILLE,Jefferson,46,THE BROOK HOSPITAL - KMI,43.08%,184008,KY,40242,,0.985,0.9829,1,0.03,Lowest,0.24
3050 RIO DOSA DRIVE,LEXINGTON,Fayette,82,THE RIDGE BEHAVIORAL HEALTH SYSTEM,61.29%,184009,KY,40509,0,0.8827,0.8113,1,0.02,Lowest,0.05
3909 S WILSON ROAD,RADCLIFF,Hardin,68,LINCOLN TRAIL BEHAVIORAL HEALTH SYSTEM,61.19%,184012,KY,40160,,0.944,0.7863,1,0.11,Lowest,0.02
270 WALTON WAY,HOPKINSVILLE,Christian,70,CUMBERLAND HALL,46.43%,184014,KY,42240,,0.9971,0.9511,1,0.11,Lowest,0.04
10510 LAGRANGE RD,LOUISVILLE,Not Available,75,CENTRAL STATE HOSPITAL,54.35%,184015,KY,40223,100,1,0.9846,1,0.05,Lowest,0.04
1035 PORTER PIKE,BOWLING GREEN,Warren,77,RIVENDELL BEHAVIORAL HEALTH SERVICES,Not Available,184017,KY,42103,,0.9683,0.9628,1,0.09,Lowest,0.11
1214 COOLIDGE AVENUE,LAFAYETTE,Lafayette,56,LAFAYETTE GENERAL MEDICAL CENTER,Not Available,190002,LA,70503,91.67,0.9991,0.9533,1,0.02,Lowest,0
P O BOX 1118,THIBODAUX,Lafourche,56,THIBODAUX REGIONAL MEDICAL CENTER,45.83%,190004,LA,70302,79.17,0.98,0.98,1,0.04,Lowest,0.37
2001 TULANE AVENUE,NEW ORLEANS,Orleans,88,UNIVERSITY MEDICAL CENTER NEW ORLEANS,28.28%,190005,LA,70112,44.12,0.9025,0.8299,1,0.38,Lowest,0
501 KEYSER AVE,NATCHITOCHES,Natchitoches,100,NATCHITOCHES REGIONAL MEDICAL CENTER,61.29%,190007,LA,71457,,0.9364,0.9364,1,0,Lowest,0
4864 JACKSON STREET,MONROE,Ouachita,97,UNIVERSITY HEALTH CONWAY,26.23%,190011,LA,71202,91.67,1,0.9947,1,0.57,Lowest,0.1
1125 MARGUERITE STREET,MORGAN CITY,Saint Mary,86,TECHE REGIONAL MEDICAL CENTER,58.33%,190014,LA,70380,93.33,0.9874,0.9849,1,0.09,Lowest,0.25
539 EAST PRUDHOMME STREET,OPELOUSAS,Saint Landry,Not Available,OPELOUSAS GENERAL HEALTH SYSTEM,64.57%,190017,LA,70570,100,1,1,1,0.06,Lowest,0.08
906 CHERRY STREET,MAMOU,Evangeline,94,SAVOY MEDICAL CENTER,54.81%,190025,LA,70554,,0.9257,0.9108,1,0.26,Lowest,0.04
524 DR. MICHAEL DEBAKEY DR.,LAKE CHARLES,Calcasieu,100,CHRISTUS ST PATRICK HOSPITAL,55.56%,190027,LA,70601,,0.9844,0.9188,1,0.14,Lowest,0
118 N HOSPITAL DR,ABBEVILLE,Vermilion,73,ABBEVILLE GENERAL HOSPITAL,63.64%,190034,LA,70510,,0.9966,0.9897,1,2.27,Lowest,0.02
1514 JEFFERSON HWY,NEW ORLEANS,Jefferson,100,OCHSNER MEDICAL CENTER NEW ORLEANS,56.41%,190036,LA,70121,,0.8219,0.589,1,0.97,Lowest,0.74
1101 MEDICAL CENTER BLVD,MARRERO,Jefferson,94,WEST JEFFERSON MEDICAL CENTER,40.54%,190039,LA,70072,88.24,0.9896,0.9792,1,0.13,Lowest,0.02
1701 OAK PARK BLVD,LAKE CHARLES,Calcasieu,100,LAKE CHARLES MEMORIAL HOSPITAL,60.98%,190060,LA,70601,88.24,0.9895,0.986,1,0,Lowest,0
5000 HENNESSY BLVD,BATON ROUGE,East Baton Rouge,78,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,54.92%,190064,LA,70808,,0.4421,0.3225,1,0.4,Lowest,0.06
3600 FLORIDA STREET,BATON ROUGE,East Baton Rouge,100,BATON ROUGE GENERAL MEDICAL CENTER,61.95%,190065,LA,70806,46.67,0.9702,0.9484,1,0.02,Lowest,0.02
1057 PAUL MAILLARD ROAD,LULING,Saint Charles,96,ST CHARLES PARISH HOSPITAL,37.21%,190079,LA,70070,,1,1,1,0.28,Lowest,0.03
2001 DOCTORS DRIVE,SPRINGHILL,Webster,95,SPRINGHILL MEDICAL CENTER,53.57%,190088,LA,71075,,0.9161,0.9091,1,0,Lowest,0
1541 KINGS HIGHWAY,SHREVEPORT,Caddo,86,UNIVERSITY HEALTH SHREVEPORT,29.91%,190098,LA,71130,88.24,0.9858,0.9681,1,0.69,Lowest,1.5
2600 GREENWOOD ROAD,SHREVEPORT,Caddo,77,WILLIS KNIGHTON MEDICAL CENTER,38.97%,190111,LA,71103,,0.891,0.8317,1,0.09,Lowest,0
620 EAST COLLEGE STREET,HOMER,Claiborne,100,CLAIBORNE MEMORIAL MEDICAL CENTER,Not Available,190114,LA,71040,,1,1,1,0,Lowest,0
108 6TH AVENUE,KINDER,Allen,88,ALLEN PARISH HOSPITAL,50.65%,190133,LA,70648,100,1,1,1,0.18,Lowest,0.01
NO 1 MEDICAL PLAZA,MINDEN,Webster,83,MINDEN MEDICAL CENTER,Not Available,190144,LA,71055,,1,1,1,0,Lowest,0
4200 HOUMA BLVD,METAIRIE,Jefferson,79,EAST JEFFERSON GENERAL HOSPITAL,83.33%,190146,LA,70011,,0.8482,0.8325,1,0,Lowest,0.04
P O BOX 35805,WEST MONROE,Not Available,39,GLENWOOD REGIONAL MEDICAL CENTER,43.28%,190160,LA,71291,42.31,0.9507,0.9079,1,0,Lowest,0
95 JUDGE TANNER BLVD,COVINGTON,Saint Tammany,93,LAKEVIEW REGIONAL MEDICAL CENTER,51.35%,190177,LA,70433,,1,1,1,0,Lowest,0.01
1978 INDUSTRIAL BLVD,HOUMA,Terrebonne,90,LEONARD J CHABERT MEDICAL CENTER,31.43%,190183,LA,70363,,0.9836,0.959,1,0.06,Lowest,0
5360 WEST CREOLE HWY,CAMERON,Cameron,37,SOUTH CAMERON MEMORIAL HOSPITAL,56.82%,190307,LA,70631,100,1,1,1,0,Lowest,0.06
433 PLAZA STREET,BOGALUSA,Washington,96,OUR LADY OF THE ANGELS HOSPITAL,Not Available,190312,LA,70427,,0.9929,0.6036,1,0.19,Lowest,0
110 WEST 4TH STREET,DEQUINCY,Calcasieu,Not Available,DEQUINCY MEMORIAL HOSPITAL,Not Available,191307,LA,70633,100,0.9929,0.9929,1,0.01,Lowest,0
1102 N PINE ROAD,OLLA,LaSalle,47,HARDTNER MEDICAL CENTER,62.26%,191315,LA,71465,100,1,1,1,0,Lowest,0.06
810 SOUTH BROADWAY STREET,CHURCH POINT,Acadia,Not Available,ACADIA ST LANDRY,72.58%,191319,LA,70525,100,0.9857,1,1,0.5,Lowest,0.5
1310 WEST SEVENTH STREET,KAPLAN,Vermilion,50,ABROM KAPLAN MEMORIAL HOSPITAL,67.06%,191322,LA,70548,90.91,0.997,0.9941,1,0.1,Lowest,0.07
4608 HIGHWAY 1,RACELAND,Lafourche,100,OCHSNER ST ANNE GENERAL HOSPITAL,42.86%,191324,LA,70394,,0.9666,0.8663,1,0.19,Lowest,0.06
23515 HIGHWAY 190,MANDEVILLE,Saint Tammany,Not Available,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,39.22%,194007,LA,70470,,1,1,1,0.01,Lowest,0.17
4502 HWY 951,JACKSON,East Feliciana,91,EASTERN LA MENTAL HEALTH SYSTEM,Not Available,194008,LA,70748,88.73,0.9875,0.9114,1,0.01,Lowest,0
1006 HIGHLAND AVENUE,SHREVEPORT,Caddo,91,BRENTWOOD HOSPITAL,38.85%,194020,LA,71106,94.29,1,0.9874,1,0.05,Lowest,0.2
44 VERSAILLES BLVD,ALEXANDRIA,Rapides,43,LONGLEAF HOSPITAL,48.91%,194022,LA,71303,61.11,0.8551,0.8019,1,0.02,Lowest,0.02
242 W SHAMROCK STREET,PINEVILLE,Rapides,88,CENTRAL LOUISIANA STATE HOSPITAL,Not Available,194025,LA,71361,82.22,0.9831,0.9831,1,0.06,Lowest,0
1525 RIVER OAKS WEST,NEW ORLEANS,Jefferson,54,RIVER OAKS HOSPITAL,51.52%,194031,LA,70123,,0.9684,0.9393,1,0.08,Lowest,0.31
2520 N UNIVERSITY AVENUE,LAFAYETTE,Lafayette,26,VERMILION BEHAVIORAL HEALTH SYSTEMS,47.30%,194044,LA,70507,,1,0.9907,1,0,Lowest,0
1421 GENERAL TAYLOR,NEW ORLEANS,Orleans,18,COMMUNITY CARE HOSPITAL,Not Available,194056,LA,70115,25.13,0.9767,0.8597,1,0,Lowest,0
201 GREENBRIER BOULEVARD,COVINGTON,Tangipahoa,54,GREENBRIER BEHAVIORAL HEALTH,71.85%,194069,LA,70443,87.5,0.9975,0.9216,1,0.16,Lowest,0.17
420 ALBRTSON PKWY,BROUSSARD,Lafayette,77,OCEANS HOSPITAL OF BROUSSARD,69.73%,194073,LA,70518,,1,0.998,1,0.01,Lowest,0
1495 FRAZIER ROAD,RUSTON,Lincoln,Not Available,SERENITY SPRINGS SPECIALTY HOSPITAL,47.83%,194074,LA,71270,,0.9419,0.8621,1,0.07,Lowest,0.01
1530 HIGHWAY 90 WEST,JENNINGS,Jefferson Davis,48,WESTEND HOSPITAL,77.19%,194075,LA,70546,,0.5388,0.5388,1,0,Lowest,0
1131 RUE DE BELIER,LAFAYETTE,Lafayette,32,OPTIMA SPECIALTY HOSPITAL,65.87%,194078,LA,70506,,0.9966,0.931,1,0,Lowest,0
2800 MELROSE AVENUE,BOSSIER CITY,Bossier,72,"RED RIVER BEHAVIORAL CENTER, LLC",Not Available,194079,LA,71111,,0.9721,0.9721,1,0,Lowest,0
"64026 HWY 434, SUITE 300 (3RD FLOOR) ",LACOMBE,Saint Tammany,39,"BEACON BEHAVIORAL HOSPITAL - NORTHSHORE, INC",66.18%,194080,LA,70445,0,0.9233,0.875,1,0,Lowest,0.01
1420 BLANKENSHIP DRIVE,DERIDDER,Beauregard,57,OCEANS BEHAVIORAL HOSPITAL OF DERIDDER,34.72%,194081,LA,70634,78.57,0.9972,0.9972,1,0,Lowest,0
ONE HOSPITAL DRIVE SUITE 201,JENNINGS,Jefferson Davis,67,JENNINGS SENIOR CARE HOSPITAL,60.53%,194082,LA,70546,,1,1,1,0,Lowest,0
4673 EUGENE WARE ROAD,BASTROP,Morehouse,11,"LIBERTY HEALTHCARE SYSTEMS, LLC",Not Available,194083,LA,71220,,0.994,0.993,1,0,Lowest,0
14500 HAYNES BLVD,NEW ORLEANS,Orleans,48,"BEACON BEHAVIORAL HOSPITAL- NEW ORLEANS, INC",65.71%,194084,LA,70128,0,0.7478,0.4897,1,0.08,Lowest,0.13
1526 NORTH AVENUE I,CROWLEY,Acadia,47,COMPASS BEHAVIORAL CENTER OF CROWLEY,65.91%,194085,LA,70526,81.25,0.9883,0.9883,1,0,Lowest,0
11135 FLORIDA BLVD,BATON ROUGE,East Baton Rouge,50,OCEANS BEHAVIORAL HOSPITAL OF BATON ROUGE,64.86%,194086,LA,70815,100,0.9286,0.9286,1,0,Lowest,0.01
1401 EZELL STREET,RUSTON,Lincoln,Not Available,"ALLEGIANCE HEALTH CENTER OF RUSTON, LLC",63.64%,194087,LA,71270,100,1,1,1,0,Lowest,0
P O BOX 2069 3136 SOUTH ST LANDRY ROAD,GONZALES,Ascension,37,"ST JAMES BEHAVIORAL HEALTH HOSPITAL, INC",Not Available,194088,LA,70707,69.59,0.8507,0.8614,1,0.19,Lowest,0
606 LATIOLAIS ROAD,BREAUX BRIDGE,Saint Martin,55,GENESIS BEHAVIORAL HOSPITAL,56.77%,194089,LA,70517,19.04,0.9827,0.7808,1,0,Lowest,0
302 WEST MCNEESE STREET,LAKE CHARLES,Calcasieu,41,OCEANS BEHAVIORAL HOSPITAL OF LAKE CHARLES,42.86%,194090,LA,70605,,0.9723,0.9723,1,0.01,Lowest,0
921 AVENUE G,KENTWOOD,Tangipahoa,51,OCEANS BEHAVIORAL HOSPITAL OF KENTWOOD,43.86%,194091,LA,70444,100,1,1,1,0,Lowest,0
2025 DESOTO ST,SHREVEPORT,Caddo,29,PHYSICIANS BEHAVIORAL HOSPITAL,45.58%,194094,LA,71103,,0.8997,0.8997,1,0,Lowest,0
1310 HEATHER DRIVE,OPELOUSAS,Saint Landry,69,OCEANS BEHAVIORAL HOSPITAL OF OPELOUSAS,45.24%,194095,LA,70570,,0.9742,0.9742,1,0,Lowest,0
2621 NORTH BOLTON AVENUE,ALEXANDRIA,Rapides,65,OCEANS BEHAVIORAL HOSPITAL OF ALEXANDRIA,54.29%,194096,LA,71303,100,1,1,1,0,Lowest,0
2021 CROWLEY RAYNE HIGHWAY,RAYNE,Acadia,60,PHOENIX BEHAVIORAL HOSPITAL,47.54%,194097,LA,70578,,0.9972,0.9972,1,0,Lowest,0.01
716 VILLAGE ROAD,KENNER,Jefferson,73,OCEANS BEHAVIORAL HOSPITAL OF GREATER NEW ORLEANS,50.00%,194098,LA,70065,100,0.9953,0.9905,1,0,Lowest,0
4201 WOODLAND DRIVE,NEW ORLEANS,Orleans,76,SEASIDE BEHAVIORAL CENTER,68.02%,194100,LA,70131,100,1,1,1,0.05,Lowest,0.02
2471 LOUISIANA AVE,LUTCHER,Saint James,59,"BEACON BEHAVIORAL HOSPITAL, INC",70.09%,194102,LA,70071,60,0.9283,0.8387,1,0,Lowest,0
4363 CONVENTION STREET,BATON ROUGE,East Baton Rouge,44,SEASIDE HEALTH SYSTEM,61.25%,194103,LA,70806,29.69,0.9607,0.9607,1,0.01,Lowest,0.02
"7414 SUMRALL DRIVE, SUITE C ",BATON ROUGE,East Baton Rouge,Not Available,"APOLLO BEHAVIORAL HEALTH HOSPITAL, L L C",Not Available,194105,LA,70812,100,1,1,1,0.04,Lowest,0.08
6410 MASONIC DRIVE,ALEXANDRIA,Rapides,73,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA, INC",51.47%,194106,LA,71301,,0.9739,0.9706,1,0.01,Lowest,0
4040 NORTH BLVD.,BATON ROUGE,East Baton Rouge,69,BATON ROUGE BEHAVIORAL HOSPITAL,52.89%,194107,LA,70806,51.72,0.9601,0.8462,1,0.02,Lowest,0
4701 WEST PARK AVENUE,HOUMA,Terrebonne,83,"COMPASS BEHAVIORAL CENTER OF HOUMA, INC",57.14%,194109,LA,70364,81.25,0.9696,0.9673,1,0.11,Lowest,0.07
323 EVERGREEN STREET,BUNKIE,Avoyelles,57,BEACON BEHAVIORAL HOSPITAL - CENTRAL,Not Available,194112,LA,71322,,0.84,0.84,1,0.32,Lowest,0
22 BRAMHALL ST,PORTLAND,Cumberland,69,MAINE MEDICAL CENTER,88.06%,200009,ME,04102,,1,1,1,0.02,Lowest,0.24
1 MEDICAL CENTER DRIVE,BIDDEFORD,York,97,SOUTHERN MAINE HEALTH CARE,76.04%,200019,ME,04005,,0.9463,0.9171,1,0.24,Lowest,0.03
318 SABATTUS STREET,LEWISTON,Androscoggin,91,ST MARYS REGIONAL MEDICAL CENTER,75.14%,200034,ME,04240,,0.8609,0.8383,1,0.03,Lowest,0.9
194 E. MAIN STREET,FORT KENT,Aroostook,100,NORTHERN MAINE MEDICAL CENTER,71.88%,200052,ME,04743,,0.9945,0.9751,1,0.31,Lowest,0.14
656 STATE STREET,BANGOR,Penobscot,69,DOROTHEA DIX PSYCHIATRIC CENTER,78.26%,204004,ME,04401,,0.9905,0.9143,1,0.07,Lowest,0.69
123 ANDOVER ROAD,WESTBROOK,Cumberland,82,SPRING HARBOR HOSPITAL,63.70%,204005,ME,04092,,0.9709,0.9114,1,0.29,Lowest,0.58
268 STILLWATER AVE,BANGOR,Penobscot,98,"ACADIA HOSPITAL, THE",80.00%,204006,ME,04401,,0.9226,0.9044,1,0.46,Lowest,0
6501 NORTH  CHARLES STREET,BALTIMORE,Baltimore,88,"SHEPPARD AND ENOCH PRATT HOSPITAL, THE",63.75%,214000,MD,21204,57.06,0.9627,0.8036,1,0.35,Lowest,0.25
POST OFFICE BOX 800,CAMBRIDGE,Dorchester,92,EASTERN SHORE HOSPITAL CENTER,Not Available,214002,MD,21613,,0.7843,0.6471,1,2.7,Lowest,1.3
13215 BROOK LANE,HAGERSTOWN,Washington,99,BROOK LANE HEALTH SERVICES,Not Available,214003,MD,21740,,0.9913,0.9908,1,0.35,Lowest,0.06
6655 SYKESVILLE ROAD,SYKESVILLE,Carroll,94,SPRINGFIELD HOSPITAL CENTER,Not Available,214004,MD,21784,56.76,0.9735,0.8411,1,1.56,Lowest,0.13
"10102 COUNTRY CLUB ROAD,  POST OFFICE BOX 1722 ",CUMBERLAND,Allegany,82,THOMAS B FINAN CENTER,Not Available,214012,MD,21502,,1,0.9024,1,0.15,Lowest,0.08
14901 BROSCHART ROAD,ROCKVILLE,Montgomery,98,ADVENTIST HEALTHCARE BEHAVIORAL HEALTH & WELLNESS,49.69%,214013,MD,20850,96.3,0.9878,0.9805,1,0.01,Lowest,0.04
WADE AVENUE,CATONSVILLE,Baltimore,72,SPRING GROVE HOSPITAL CENTER,Not Available,214018,MD,21228,40,1,1,1,0.12,Lowest,0
330 MOUNT AUBURN STREET,CAMBRIDGE,Middlesex,94,MOUNT AUBURN HOSPITAL,68.52%,220002,MA,02138,,0.9813,0.9625,1,0.02,Lowest,0.01
1493 CAMBRIDGE STREET,CAMBRIDGE,Middlesex,94,CAMBRIDGE HEALTH ALLIANCE,71.79%,220011,MA,02139,75,0.8033,0.6216,1,0.39,Lowest,0.12
27 PARK STREET P.O. BOX 640,HYANNIS,Barnstable,98,CAPE COD HEALTHCARE,81.82%,220012,MA,02601,,0.4788,0.3089,1,0.02,Lowest,0.01
30 LOCUST STREET,NORTHAMPTON,Hampshire,93,"COOLEY DICKINSON HOSPITAL INC,THE",61.74%,220015,MA,01061,82.35,0.9509,,1,0.19,Lowest,0
2100 DORCHESTER AVENUE,BOSTON,Suffolk,90,CARNEY HOSPITAL,58.00%,220017,MA,02124,,0.6537,0.578,1,0.13,Lowest,0.02
100 SOUTH STREET PO BOX 8002,SOUTHBRIDGE,Worcester,91,HARRINGTON MEMORIAL HOSPITAL-1,75.29%,220019,MA,01550,88.89,0.9864,0.9708,1,0.05,Lowest,0
795 MIDDLE STREET,FALL RIVER,Bristol,93,SAINT ANNE'S HOSPITAL,70.15%,220020,MA,02721,,0.9583,0.95,1,0.04,Lowest,0
575 BEECH STREET,HOLYOKE,Hampden,78,HOLYOKE MEDICAL CENTER,68.70%,220024,MA,01040,96.43,0.9883,0.9414,1,0.05,Lowest,0
25 HIGHLAND AVENUE,NEWBURYPORT,Not Available,100,ANNA JAQUES HOSPITAL,64.22%,220029,MA,01950,,0.8906,0.7813,1,0.07,Lowest,0
40 WRIGHT STREET,PALMER,Hampden,97,UMASS MEMORIAL HEALTHCARE WING MEMORIAL HOSPITAL,66.02%,220030,MA,01069,90.91,0.9251,0.9054,1,0.33,Lowest,0
85 HERRICK STREET,BEVERLY,Not Available,84,NORTHEST HOSPITAL CORPORATION,71.73%,220033,MA,01915,83.33,0.6996,0.6322,1,0.17,Lowest,0
81 HIGHLAND AVENUE,SALEM,Essex,96,NORTH SHORE MEDICAL CENTER,79.31%,220035,MA,01970,46.88,0.8715,0.8438,1,0.12,Lowest,0.3
736 CAMBRIDGE STREET,BRIGHTON,Suffolk,84,ST ELIZABETH'S MEDICAL CENTER,68.38%,220036,MA,02135,30.91,0.6025,0.5751,1,0.03,Lowest,0
725 NORTH STREET,PITTSFIELD,Berkshire,72,BERKSHIRE MEDICAL CENTER,68.35%,220046,MA,01201,12.94,0.85,0.8396,1,0.11,Lowest,0.04
680 CENTRE STREET,BROCKTON,Plymouth,88,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,64.90%,220052,MA,02302,,0.8451,0.723,1,0.01,Lowest,0
201 HIGHLAND STREET,CLINTON,Worcester,70,UMASS MEMORIAL HEALTHCARE-CLINTON HOSPITAL,65.22%,220058,MA,01510,,0,0,1,0.02,Lowest,0
275 SANDWICH STREET,PLYMOUTH,Plymouth,80,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,71.43%,220060,MA,02360,,0.7177,0.6316,1,0,Lowest,0
115 WEST SILVER STREET PO BOX 1634,WESTFIELD,Hampden,91,NOBLE HOSPITAL,52.27%,220065,MA,01086,,0.9964,0.7491,1,0.09,Lowest,0
271 CAREW STREET,SPRINGFIELD,Hampden,98,MERCY MEDICAL CTR,42.37%,220066,MA,01104,,0.8966,0.771,1,0.18,Lowest,0.07
MELROSE WAKEFIELD HOSPITAL  585 LEBANON STREET,MELROSE,Not Available,96,HALLMARK HEALTH SYSTEM,75.84%,220070,MA,02176,83.33,0.8427,0.7444,1,0.31,Lowest,0.1
55 FRUIT STREET,BOSTON,Suffolk,92,MASSACHUSETTS GENERAL HOSPITAL,77.14%,220071,MA,02114,100,0.9785,0.957,1,0.07,Lowest,0.01
88 WASHINGTON STREET,TAUNTON,Bristol,94,MORTON HOSPITAL,Not Available,220073,MA,02780,,0.9358,0.9266,1,0.02,Lowest,0
759 CHESTNUT ST,SPRINGFIELD,Hampden,94,BAYSTATE MEDICAL CENTER,50.69%,220077,MA,01199,30,0.8833,0.8565,1,0.05,Lowest,0.01
70 EAST STREET,METHUEN,Essex,83,HOLY FAMILY HOSPITAL,62.96%,220080,MA,01844,,0.3243,0.3176,1,0.02,Lowest,0
133 OLD ROAD NINE ACRE CORNER,CONCORD,Middlesex,96,EMERSON HOSPITAL,63.95%,220084,MA,01742,81.48,0.9991,0.4346,1,0.25,Lowest,0
"ONE DEACONESS ROAD, WEST CAMPUS ",BOSTON,Suffolk,97,BETH ISRAEL DEACONESS MEDICAL CENTER,79.07%,220086,MA,02215,64.86,0.8623,0.9514,1,0.15,Lowest,0.27
242 GREEN STREET,GARDNER,Worcester,89,HEYWOOD HOSPITAL,47.46%,220095,MA,01440,,0.9354,0.8946,1,0.01,Lowest,0
200 GROTON ROAD,AYER,Middlesex,93,NASHOBA VALLEY MEDICAL CENTER,Not Available,220098,MA,01432,,0.898,0.8929,1,0,Lowest,0
2014 WASHINGTON STREET,NEWTON,Middlesex,89,NEWTON-WELLESLEY HOSPITAL,68.63%,220101,MA,02462,91.3,0.4256,0.3512,1,0.32,Lowest,0.02
235 NORTH PEARL STREET,BROCKTON,Plymouth,92,GOOD SAMARITAN MEDICAL CENTER,50.00%,220111,MA,02301,,0.9639,0.9639,1,0,Lowest,0
800 WASHINGTON STREET,BOSTON,Suffolk,97,TUFTS MEDICAL CENTER,61.54%,220116,MA,02111,,0.9724,0.8525,1,2.15,Lowest,10.51
1153 CENTRE STREET,JAMAICA PLAIN,Suffolk,94,FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,72.62%,220119,MA,02130,100,0.5273,0.4688,1,0.33,Lowest,0.07
800 WASHINGTON STREET,NORWOOD,Norfolk,93,NORWOOD HOSPITAL,62.30%,220126,MA,02062,,0.9473,0.929,1,0.06,Lowest,0
55 LAKE AVENUE NORTH,WORCESTER,Not Available,81,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,69.70%,220163,MA,01655,,0.8407,0.75,1,0.26,Lowest,0.09
115 LINCOLN STREET,FRAMINGHAM,Middlesex,96,METROWEST MEDICAL CENTER,67.09%,220175,MA,01701,,0.8641,0.6645,1,2.34,Lowest,0
123 SUMMER STREET,WORCESTER,Worcester,95,ST VINCENT HOSPITAL,66.04%,220176,MA,01608,,0.8657,0.6816,1,0,Lowest,0
60 HODGES AVENUE,TAUNTON,Bristol,76,TAUNTON STATE HOSPITAL,Not Available,224001,MA,02780,,1,0.9722,1,0.22,Lowest,0.04
115 MILL STREET,BELMONT,Middlesex,68,MCLEAN HOSPITAL CORPORATION,81.12%,224007,MA,02478,72.31,0.9538,0.8839,1,0.11,Lowest,0.04
49 ROBINWOOD AVENUE,BOSTON,Suffolk,Not Available,ARBOUR HOSPITAL,55.09%,224013,MA,02130,64.29,0.999,0.811,1,0.22,Lowest,0
227 BABCOCK STREET,BROOKLINE,Norfolk,49,ARBOUR HUMAN RESOURCE INSTITUTE,66.19%,224018,MA,02446,73.68,0.9915,0.9489,1,0.11,Lowest,0
200 MAY STREET,SOUTH ATTLEBORO,Bristol,57,ARBOUR-FULLER HOSPITAL,62.65%,224021,MA,02703,55.56,0.9936,0.96,1,0.38,Lowest,0
